"case","stage","prescription","interfaceFrictionCoefficient","resultant","statistic","value","signedValue","theta","thetaDeg","unit","evidenceLevel"
"interface-alpha-1","Estado biaxial uniforme","Interfaz: αδ = 1.00",1,"N","minimum",-131.500000000001,-131.500000000001,4.71238898038469,270,"kN/m","DE"
"interface-alpha-1","Estado biaxial uniforme","Interfaz: αδ = 1.00",1,"N","maximum",-65.7500000000001,-65.7500000000001,0,0,"kN/m","DE"
"interface-alpha-1","Estado biaxial uniforme","Interfaz: αδ = 1.00",1,"N","absoluteMaximum",131.500000000001,-131.500000000001,4.71238898038469,270,"kN/m","DE"
"interface-alpha-1","Estado biaxial uniforme","Interfaz: αδ = 1.00",1,"M","minimum",-21.621100426855,-21.621100426855,4.71238898038469,270,"kN m/m","DE"
"interface-alpha-1","Estado biaxial uniforme","Interfaz: αδ = 1.00",1,"M","maximum",21.6095245731448,21.6095245731448,0,0,"kN m/m","DE"
"interface-alpha-1","Estado biaxial uniforme","Interfaz: αδ = 1.00",1,"M","absoluteMaximum",21.621100426855,-21.621100426855,4.71238898038469,270,"kN m/m","DE"
"interface-alpha-1","Estado biaxial uniforme","Interfaz: αδ = 1.00",1,"Q","minimum",-32.8750000000001,-32.8750000000001,0.785398163397448,45,"kN/m","DE"
"interface-alpha-1","Estado biaxial uniforme","Interfaz: αδ = 1.00",1,"Q","maximum",32.8750000000007,32.8750000000007,5.49778714378214,315,"kN/m","DE"
"interface-alpha-1","Estado biaxial uniforme","Interfaz: αδ = 1.00",1,"Q","absoluteMaximum",32.8750000000007,32.8750000000007,5.49778714378214,315,"kN/m","DE"
"interface-alpha-0","Estado biaxial uniforme","Interfaz: αδ = 0.00",0,"N","minimum",-109.583333333334,-109.583333333334,4.71238898038469,270,"kN/m","DE"
"interface-alpha-0","Estado biaxial uniforme","Interfaz: αδ = 0.00",0,"N","maximum",-87.6666666666666,-87.6666666666666,0,0,"kN/m","DE"
"interface-alpha-0","Estado biaxial uniforme","Interfaz: αδ = 0.00",0,"N","absoluteMaximum",109.583333333334,-109.583333333334,4.71238898038469,270,"kN/m","DE"
"interface-alpha-0","Estado biaxial uniforme","Interfaz: αδ = 0.00",0,"M","minimum",-14.4159962601883,-14.4159962601883,4.71238898038469,270,"kN m/m","DE"
"interface-alpha-0","Estado biaxial uniforme","Interfaz: αδ = 0.00",0,"M","maximum",14.4044204064778,14.4044204064778,3.14159265358979,180,"kN m/m","DE"
"interface-alpha-0","Estado biaxial uniforme","Interfaz: αδ = 0.00",0,"M","absoluteMaximum",14.4159962601883,-14.4159962601883,4.71238898038469,270,"kN m/m","DE"
"interface-alpha-0","Estado biaxial uniforme","Interfaz: αδ = 0.00",0,"Q","minimum",-21.9166666666667,-21.9166666666667,3.92699081698724,225,"kN/m","DE"
"interface-alpha-0","Estado biaxial uniforme","Interfaz: αδ = 0.00",0,"Q","maximum",21.916666666668,21.916666666668,5.49778714378214,315,"kN/m","DE"
"interface-alpha-0","Estado biaxial uniforme","Interfaz: αδ = 0.00",0,"Q","absoluteMaximum",21.916666666668,21.916666666668,5.49778714378214,315,"kN/m","DE"
