"case","stage","model","prescription","resultant","thetaIndex","theta","thetaDeg","value","unit","evidenceLevel"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",0,0,0,-65.75,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",1,0.00871454272840442,0.499306518723994,-65.7549931426135,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",2,0.0174290854568088,0.998613037447989,-65.7699710537105,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",3,0.0261436281852133,1.49791955617198,-65.7949291835209,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",4,0.0348581709136177,1.99722607489598,-65.8298599506301,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",5,0.0435727136420221,2.49653259361997,-65.8747527442821,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",6,0.0522872563704265,2.99583911234397,-65.9295939276026,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",7,0.0610017990988309,3.49514563106796,-65.9943668417415,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",8,0.0697163418272354,3.99445214979196,-66.0690518109332,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",9,0.0784308845556398,4.49375866851595,-66.1536261484732,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",10,0.0871454272840442,4.99306518723994,-66.2480641636101,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",11,0.0958599700124486,5.49237170596394,-66.352337169349,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",12,0.104574512740853,5.99167822468793,-66.466413491166,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",13,0.113289055469257,6.49098474341193,-66.5902584766293,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",14,0.122003598197662,6.99029126213592,-66.7238345059262,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",15,0.130718140926066,7.48959778085992,-66.8671010032901,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",16,0.139432683654471,7.98890429958391,-67.020014449326,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",17,0.148147226382875,8.4882108183079,-67.1825283942306,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",18,0.15686176911128,8.9875173370319,-67.3545934719016,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",19,0.165576311839684,9.4868238557559,-67.5361574149341,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Acciones prescritas","Proyección completa del estado biaxial","N",20,0.174290854568088,9.98613037447989,-67.7271650704969,"kN/m","DE"
