"case","stage","prescription","resultant","statistic","value","signedValue","theta","thetaDeg","unit","evidenceLevel"
"biaxial-complete","Estado biaxial uniforme","Proyección completa del estado biaxial","N","minimum",-131.5,-131.5,1.5707963267949,90,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Proyección completa del estado biaxial","N","maximum",-65.75,-65.75,0,0,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Proyección completa del estado biaxial","N","absoluteMaximum",131.5,-131.5,1.5707963267949,90,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Proyección completa del estado biaxial","M","minimum",-21.6211004268556,-21.6211004268556,1.5707963267949,90,"kN m/m","DE"
"biaxial-complete","Estado biaxial uniforme","Proyección completa del estado biaxial","M","maximum",21.6095245731444,21.6095245731444,0,0,"kN m/m","DE"
"biaxial-complete","Estado biaxial uniforme","Proyección completa del estado biaxial","M","absoluteMaximum",21.6211004268556,-21.6211004268556,1.5707963267949,90,"kN m/m","DE"
"biaxial-complete","Estado biaxial uniforme","Proyección completa del estado biaxial","Q","minimum",-32.875,-32.875,0.785398163397448,45,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Proyección completa del estado biaxial","Q","maximum",32.875,32.875,2.35619449019234,135,"kN/m","DE"
"biaxial-complete","Estado biaxial uniforme","Proyección completa del estado biaxial","Q","absoluteMaximum",32.875,-32.875,0.785398163397448,45,"kN/m","DE"
"biaxial-normal","Estado biaxial uniforme","Carga exclusivamente normal","N","minimum",-109.583333333333,-109.583333333333,1.5707963267949,90,"kN/m","DE"
"biaxial-normal","Estado biaxial uniforme","Carga exclusivamente normal","N","maximum",-87.6666666666667,-87.6666666666667,0,0,"kN/m","DE"
"biaxial-normal","Estado biaxial uniforme","Carga exclusivamente normal","N","absoluteMaximum",109.583333333333,-109.583333333333,1.5707963267949,90,"kN/m","DE"
"biaxial-normal","Estado biaxial uniforme","Carga exclusivamente normal","M","minimum",-14.4159962601889,-14.4159962601889,1.5707963267949,90,"kN m/m","DE"
"biaxial-normal","Estado biaxial uniforme","Carga exclusivamente normal","M","maximum",14.4044204064777,14.4044204064777,0,0,"kN m/m","DE"
"biaxial-normal","Estado biaxial uniforme","Carga exclusivamente normal","M","absoluteMaximum",14.4159962601889,-14.4159962601889,1.5707963267949,90,"kN m/m","DE"
"biaxial-normal","Estado biaxial uniforme","Carga exclusivamente normal","Q","minimum",-21.9166666666667,-21.9166666666667,0.785398163397448,45,"kN/m","DE"
"biaxial-normal","Estado biaxial uniforme","Carga exclusivamente normal","Q","maximum",21.9166666666667,21.9166666666667,2.35619449019234,135,"kN/m","DE"
"biaxial-normal","Estado biaxial uniforme","Carga exclusivamente normal","Q","absoluteMaximum",21.9166666666667,-21.9166666666667,0.785398163397448,45,"kN/m","DE"
