"group","magnitude","symbol","value","unit","evidenceLevel","condition"
"Geometría","Diámetro interior nominal","D_i","2.63","m","PN","Parámetro nominal suministrado"
"Geometría","Radio empleado","R","1.315","m","DE","Aproximación D_i/2; no es radio centroidal confirmado"
"Geometría","Corrugación nominal","perfil","76 × 25","mm","PN","Parámetro nominal suministrado"
"Geometría","Espesor informado","t_0","3.0","mm","PN","Categoría pendiente"
"Sección corrugada","Espesor base del escenario","t_b","3.0","mm","HA","Hipótesis condicional t_0 = t_b"
"Sección corrugada","Área por unidad de longitud","A_p","3.7305","mm2/mm","DE","Interpolación de NCSPA bajo t_0 = t_b"
"Sección corrugada","Momento de inercia por unidad de longitud","I_p","287.902","mm4/mm","DE","Interpolación de NCSPA bajo t_0 = t_b"
"Sección corrugada","Módulo circunferencial","E_theta","200","GPa","HA","Valor adoptado"
"Sección corrugada","Rigidez extensional circunferencial","EA_theta","746094","kN/m","DE","Resultado derivado"
"Sección corrugada","Rigidez flexional circunferencial","EI_theta","57.58","kN m2/m","DE","Resultado derivado"
"Sección corrugada","Razón seccional","eta_s","4.463e-05","-","DE","Resultado derivado"
"Estado de tensiones y acciones","Tensión vertical efectiva en el eje","sigma'_v,A","100","kPa","HA","Escenario analítico"
"Estado de tensiones y acciones","Coeficiente de empuje en reposo","K_0","0.5","-","HA","Escenario analítico"
"Estado de tensiones y acciones","Diferencia de presión de agua","Delta u_A","0","kPa","HA","Escenario analítico"
"Estado de tensiones y acciones","Tensión horizontal efectiva en el eje","sigma'_h,A","50","kPa","DE","Resultado derivado"
"Estado de tensiones y acciones","Presión media","p_m","75","kPa","DE","Resultado derivado"
"Estado de tensiones y acciones","Diferencia de tensiones","Delta sigma","50","kPa","DE","Resultado derivado"
"Estado de tensiones y acciones","Multiplicador de la componente tangencial","alpha","0; 1","-","HA","Valores adoptados para el escenario de comprobación"
