"case","halfAngleDeg","thetaDeg","publishedNbar","calculatedNbar","errorNbar","publishedMbar","calculatedMbar","errorMbar","sourceLocation"
"Baker half-angle 0 deg",0,0,0,-3.97837628026209e-05,-3.97837628026209e-05,0.318,0.318270102420988,0.000270102420987739,"Baker 1968 printed pp. 49/PDF 53"
"Baker half-angle 0 deg",0,30,-0.25,-0.250000009944695,-9.94469506743201e-09,0.068,0.0683098762390963,0.000309876239096271,"Baker 1968 printed pp. 49/PDF 53"
"Baker half-angle 0 deg",0,60,-0.433,-0.433012701891392,-1.27018913920196e-05,-0.115,-0.1147028157076,0.000297184292399957,"Baker 1968 printed pp. 49/PDF 53"
"Baker half-angle 0 deg",0,90,-0.5,-0.499999995027652,4.972347533716e-09,-0.182,-0.181690108843861,0.000309891156138969,"Baker 1968 printed pp. 49/PDF 53"
"Baker half-angle 30 deg",30,0,-0.128,-0.127936315418682,6.36845813178077e-05,0.19,0.190373570765108,0.000373570765108494,"Baker 1968 printed pp. 50/PDF 54"
"Baker half-angle 30 deg",30,30,-0.239,-0.238732414637158,0.000267585362841938,0.08,0.0795774715466332,-0.000422528453366808,"Baker 1968 printed pp. 50/PDF 54"
"Baker half-angle 30 deg",30,60,-0.413,-0.413496671566346,-0.000496671566346196,-0.095,-0.0951867853825542,-0.000186785382554219,"Baker 1968 printed pp. 50/PDF 54"
"Baker half-angle 30 deg",30,90,-0.477,-0.477464829277056,-0.000464829277055934,-0.159,-0.159154943093266,-0.000154943093266358,"Baker 1968 printed pp. 50/PDF 54"
"Baker half-angle 60 deg",60,0,-0.239,-0.238732414637158,0.000267585362841938,0.08,0.0795774715466332,-0.000422528453366794,"Baker 1968 printed pp. 51/PDF 55"
"Baker half-angle 60 deg",60,30,-0.271,-0.270716493492513,0.000283506507486764,0.048,0.0475933926912771,-0.00040660730872287,"Baker 1968 printed pp. 51/PDF 55"
"Baker half-angle 60 deg",60,60,-0.358,-0.358098621957106,-9.86219571059155e-05,-0.04,-0.0397887357733166,0.000211264226683418,"Baker 1968 printed pp. 51/PDF 55"
"Baker half-angle 60 deg",60,90,-0.413,-0.413496671566346,-0.000496671566346252,-0.095,-0.0951867853825542,-0.000186785382554247,"Baker 1968 printed pp. 51/PDF 55"
