"lining","quantity","published","calculated","sourceLocation","note"
"primary","a",0.027,0.027,"Nunez 2000 PDF pp. 14-15","Arithmetic benchmark; not validation for an installed backfilled pipe"
"primary","A",0.0263,0.0262901655306719,"Nunez 2000 PDF pp. 14-15","Arithmetic benchmark; not validation for an installed backfilled pipe"
"primary","pvStar",7.4,7.375,"Nunez 2000 PDF pp. 14-15","Arithmetic benchmark; not validation for an installed backfilled pipe"
"primary","ph",7.2,7.1811100292113,"Nunez 2000 PDF pp. 14-15","Arithmetic benchmark; not validation for an installed backfilled pipe"
"primary","Mc",1.21,1.21181231742941,"Nunez 2000 PDF pp. 14-15","Arithmetic benchmark; not validation for an installed backfilled pipe"
"primary","Nc",54.5,54.3430501460565,"Nunez 2000 PDF pp. 14-15","Arithmetic benchmark; not validation for an installed backfilled pipe"
"final","a",0.11,0.10976,"Nunez 2000 PDF pp. 14-15","Arithmetic benchmark; not validation for an installed backfilled pipe"
"final","A",0.1,0.0989042675893887,"Nunez 2000 PDF pp. 14-15","Arithmetic benchmark; not validation for an installed backfilled pipe"
"final","pvStar",14.75,14.75,"Nunez 2000 PDF pp. 14-15","Arithmetic benchmark; not validation for an installed backfilled pipe"
"final","ph",13.3,13.2911620530565,"Nunez 2000 PDF pp. 14-15","Arithmetic benchmark; not validation for an installed backfilled pipe"
"final","Mc",9,9.11773716839677,"Nunez 2000 PDF pp. 14-15","Arithmetic benchmark; not validation for an installed backfilled pipe"
"final","Nc",103.4,103.330810265283,"Nunez 2000 PDF pp. 14-15","Arithmetic benchmark; not validation for an installed backfilled pipe"
"final","Na",147.5,147.5,"Nunez 2000 PDF pp. 14-15","Arithmetic benchmark; not validation for an installed backfilled pipe"
