sectionID,capacityID,capacityRoleID,senseID,nominalValue,availableValue,unit,designMethodID,widthBasisID,capacityConsumerID,capacityBasisID,applicabilityStatus,sourceLocator,limitStateID,sectionHoleStatus,webHoleStatus,netSectionBasisID,capacityCoverageStatus,capacityCoverageEvidenceLocator,evidenceLocator
cspi-76x25-2.8-t2.64,ta,Ta,not-applicable,0,100,kN/m,ASD,per-projected-metre,general,test,satisfied,synthetic regression fixture,D,absent,not-applicable,,satisfied,synthetic regression fixture,synthetic regression fixture
cspi-76x25-2.8-t2.64,pa,Pa,not-applicable,0,100,kN/m,ASD,per-projected-metre,general,test,satisfied,synthetic regression fixture,E,absent,not-applicable,,satisfied,synthetic regression fixture,synthetic regression fixture
cspi-76x25-2.8-t2.64,ma-positive,Ma,positive,0,50,kN m/m,ASD,per-projected-metre,general,test,satisfied,synthetic regression fixture,F,absent,not-applicable,,satisfied,synthetic regression fixture,synthetic regression fixture
cspi-76x25-2.8-t2.64,ma-negative,Ma,negative,0,40,kN m/m,ASD,per-projected-metre,general,test,satisfied,synthetic regression fixture,F,absent,not-applicable,,satisfied,synthetic regression fixture,synthetic regression fixture
cspi-76x25-2.8-t2.64,mat-positive,Mat,positive,0,60,kN m/m,ASD,per-projected-metre,H1,test,satisfied,synthetic regression fixture,F,absent,not-applicable,,satisfied,synthetic regression fixture,synthetic regression fixture
cspi-76x25-2.8-t2.64,mat-negative,Mat,negative,0,55,kN m/m,ASD,per-projected-metre,H1,test,satisfied,synthetic regression fixture,F,absent,not-applicable,,satisfied,synthetic regression fixture,synthetic regression fixture
cspi-76x25-2.8-t2.64,malo-positive,MaloH2,positive,0,40,kN m/m,ASD,per-projected-metre,H2,test,satisfied,synthetic regression fixture,F-H2,absent,not-applicable,,satisfied,synthetic regression fixture,synthetic regression fixture
cspi-76x25-2.8-t2.64,malo-negative,MaloH2,negative,0,35,kN m/m,ASD,per-projected-metre,H2,test,satisfied,synthetic regression fixture,F-H2,absent,not-applicable,,satisfied,synthetic regression fixture,synthetic regression fixture
cspi-76x25-2.8-t2.64,va-positive,Va,positive,0,20,kN/m,ASD,per-projected-metre,general,test,satisfied,synthetic regression fixture,G,not-applicable,absent,,satisfied,synthetic regression fixture,synthetic regression fixture
cspi-76x25-2.8-t2.64,va-negative,Va,negative,0,18,kN/m,ASD,per-projected-metre,general,test,satisfied,synthetic regression fixture,G,not-applicable,absent,,satisfied,synthetic regression fixture,synthetic regression fixture
